pkgs,contents,urls
knitr,content/post/2020-02-06-maximizing-magnetic-volume-the-perfect-bowl.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-06-maximizing-magnetic-volume-the-perfect-bowl.Rmd
tidyverse,content/post/2020-02-06-maximizing-magnetic-volume-the-perfect-bowl.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-06-maximizing-magnetic-volume-the-perfect-bowl.Rmd
ggforce,content/post/2020-02-06-maximizing-magnetic-volume-the-perfect-bowl.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-06-maximizing-magnetic-volume-the-perfect-bowl.Rmd
knitr,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
tidyverse,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
lubridate,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
stringi,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
stringr,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
gganimate,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
ggforce,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
here,content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-13-fivethirtyeightriddlersolutions-palindrome-debts-and-ambiguous-absolut-value-signs.Rmd
knitr,content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd
devtools,content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd
tidyverse,content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd
ggforce,content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd
gganimate,content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd,https://raw.githubusercontent.com/brshallo/brshallo/master/content/post/2020-02-20-visualizing-matrix-transformations-with-gganimate.Rmd
