pkgs,contents,urls
knitr,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
tidyverse,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
tidytuesdayR,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
tidymodels,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
rsample,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
modeldata,2020_07_28_penguins.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_07_28_penguins.Rmd
knitr,2020_08_04_europe_energy.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_04_europe_energy.Rmd
tidyverse,2020_08_04_europe_energy.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_04_europe_energy.Rmd
tidytuesdayR,2020_08_04_europe_energy.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_04_europe_energy.Rmd
scales,2020_08_04_europe_energy.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_04_europe_energy.Rmd
tidytext,2020_08_04_europe_energy.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_04_europe_energy.Rmd
devtools,2020_08_04_europe_energy.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_04_europe_energy.Rmd
ggflags,2020_08_04_europe_energy.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_04_europe_energy.Rmd
knitr,2020_08_18_extinct_plants.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_08_18_extinct_plants.Rmd
