pkgs,contents,urls
knitr,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
tidyverse,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
dplyr,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
readr,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
sessioninfo,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
knitr,whole-game.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/whole-game.Rmd
tidyverse,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot2,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
dplyr,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplots,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
knitr,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
knitr,workflow-basics.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/workflow-basics.Rmd
nycflights13,data-transform.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-transform.Rmd
tidyverse,data-transform.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-transform.Rmd
Lahman,data-transform.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-transform.Rmd
tidyverse,data-tidy.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-tidy.Rmd
knitr,data-tidy.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-tidy.Rmd
tidyverse,data-import.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-import.Rmd
knitr,data-import.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-import.Rmd
janitor,data-import.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-import.Rmd
fs,data-import.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-import.Rmd
feather,data-import.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-import.Rmd
knitr,workflow-scripts.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/workflow-scripts.Rmd
dplyr,workflow-scripts.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/workflow-scripts.Rmd
nycflights13,workflow-scripts.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/workflow-scripts.Rmd
tidyverse,EDA.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/EDA.Rmd
nycflights13,EDA.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/EDA.Rmd
knitr,EDA.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/EDA.Rmd
modelr,EDA.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/EDA.Rmd
knitr,workflow-projects.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/workflow-projects.Rmd
tidyverse,workflow-projects.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/workflow-projects.Rmd
tidyverse,tibble.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/tibble.Rmd
lubridate,tibble.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/tibble.Rmd
