funs,pkgs,in_multiple_pkgs,contents,urls
library,base,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
set,(unknown),FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
options,base,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
library,base,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
library,base,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
library,base,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
austen_books,janeaustenr,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
unnest_tokens,tidytext,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
count,dplyr,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
ungroup,dplyr,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
group_by,dplyr,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
summarize,dplyr,FALSE,content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/2016-06-27-Term-Frequency-tf-idf.Rmd
